symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,termine,atr_pct_entree
ADA,long,2019-03-22,2019-03-23,2019-03-25,2,0.05778,0.05142724769727322,0.05759530143318228,-0.0653967209623072,-0.00717583817626218,stop,True,0.054973626711031294
ADA,long,2019-03-26,2019-03-27,2019-04-04,8,0.06175,0.054230326985678375,0.0881165565292979,3.466483631215562,0.42129220775031795,stop,True,0.06088804060179452
ADA,long,2019-04-05,2019-04-06,2019-04-08,2,0.09047,0.07808009210944562,0.08172829370661383,-0.7333470887000149,-0.10023175579645827,stop,True,0.06847522875292567
ADA,long,2019-04-10,2019-04-11,2019-04-11,0,0.08948,0.07643420964775167,0.07643420964775167,-1.025435670077154,-0.14920559831994298,stop,True,0.07289780035900942
ADA,long,2019-05-14,2019-05-15,2019-05-17,2,0.08443,0.0711375859613069,0.08521898993602482,0.03383072140573868,0.005315579384317427,stop,True,0.07871854813865398
ADA,long,2020-01-21,2020-01-22,2020-01-24,2,0.04604,0.04084248527922017,0.04153087918784731,-0.9012504672282241,-0.10154024207294339,stop,True,0.05644564205885997
ADA,long,2020-01-27,2020-01-28,2020-02-15,18,0.048,0.04240666473845234,0.06411599784022556,2.841196728148189,0.33041761985497997,stop,True,0.05826390897445485
ADA,long,2020-04-24,2020-04-25,2020-05-01,6,0.04165,0.03619289612356458,0.04751,1.041152986758109,0.13614260075287588,gap_stop,True,0.06551145109766411
ADA,long,2020-05-02,2020-05-03,2020-05-10,7,0.05095,0.04435964706648661,0.04749175530694279,-0.5546179757815354,-0.07159632067897768,stop,True,0.06467470984802151
ADA,long,2020-05-18,2020-05-19,2020-05-21,2,0.05433,0.04800635783152507,0.05101716568126396,-0.5571992462926383,-0.06472474983951804,stop,True,0.058196596433599625
ADA,long,2020-05-28,2020-05-29,2020-06-01,3,0.06495,0.056537354380769914,0.07391,1.0320510803585468,0.13340954734103772,gap_stop,True,0.06476247589861495
ADA,long,2020-06-02,2020-06-03,2020-06-11,8,0.07872,0.06617195370622955,0.07908444037548226,0.0038915615696726706,0.0006190806234496284,stop,True,0.07970049729274925
ADA,long,2020-07-01,2020-07-02,2020-07-09,7,0.09685,0.08561996129987397,0.12224543419801778,2.222364855193387,0.2571753068939224,stop,True,0.05797645173012926
ADA,long,2020-07-10,2020-07-11,2020-07-20,9,0.11843,0.10052208356869899,0.11825242576974518,-0.03634923606503675,-0.0054854327635728345,stop,True,0.07560549029511526
